model,lead_hours,layer_hpa,component,control_control,control_optimal,optimal_control,optimal_optimal,field_at_control_center,position_in_optimal_field,position_in_control_field,field_at_optimal_center,field_symmetric,position_symmetric,total,interaction
tianxing,60,850–500,u,-4.033449028323839,-4.048415945723392,-2.9010549886390997,-2.7999449029324803,1.1323940396847396,0.10111008570661939,-0.014966917399553026,1.248471042790912,1.1904325412378258,0.04307158415353318,1.233504125391359,0.11607700310617286
tianxing,60,850–500,v,-1.182728931162332,-1.063927548768758,-1.3454905374389856,-1.2410112981080863,-0.1627616062766537,0.10447923933089931,0.11880138239357385,-0.17708374933932824,-0.16992267780799097,0.11164031086223658,-0.058282366945754394,-0.014322143062674542
tianxing,66,850–700,u,-3.530735033296778,-3.579291436411944,-2.531797148093424,-2.4220506793560004,0.9989378852033544,0.10974646873742344,-0.048556403115165736,1.1572407570559435,1.078089321129649,0.030595032811128853,1.1086843539407778,0.15830287185258918
tianxing,66,850–700,v,-0.9366799338372925,-0.7038206132158011,-1.0150437320654278,-0.8730745898627561,-0.07836379822813522,0.14196914220267165,0.2328593206214914,-0.16925397664695496,-0.12380888743754509,0.18741423141208152,0.06360534397453643,-0.09089017841881974
tianxing,66,850–500,u,-3.5762019469125597,-3.640544772215126,-2.4549537742775853,-2.362038488894674,1.1212481726349743,0.09291528538291116,-0.06434282530256619,1.2785062833204517,1.199877227977713,0.014286230040172487,1.2141634580178855,0.15725811068547735
tianxing,66,850–500,v,-0.7057815404207124,-0.4854581827865297,-0.7979190001671868,-0.6307079756359946,-0.09213745974647436,0.1672110245311922,0.2203233576341827,-0.14524979284946488,-0.11869362629796962,0.19376719108268745,0.07507356478471783,-0.05311233310299057
tianxing,72,850–700,u,-2.5047200222935633,-2.773096406908898,-1.5692932331828235,-1.6557874597902424,0.9354267891107397,-0.0864942266074189,-0.26837638461533464,1.1173089471186555,1.0263678681146975,-0.17743530561137677,0.8489325625033208,0.18188215800791596
tianxing,72,850–700,v,-2.1840447726545795,-1.8553038917917828,-2.1462446508163033,-1.870599673304158,0.03780012183827619,0.27564497751214523,0.32874088086279674,-0.015295781512375317,0.011252170162950437,0.302192929187471,0.3134450993504214,-0.05309590335065151
tianxing,72,850–500,u,-2.901349743668751,-3.110358318482774,-1.808601769505974,-1.835878760976275,1.0927479741627772,-0.02727699147030105,-0.2090085748140229,1.274479557506499,1.1836137658346382,-0.11814278314216198,1.0654709826924762,0.18173158334372186
tianxing,72,850–500,v,-1.969312538008044,-1.5678997286750493,-1.9657609041040693,-1.6010505629715452,0.003551633903974727,0.3647103411325241,0.4014128093329947,-0.0331508342964959,-0.014799600196260587,0.3830615752327594,0.3682619750364988,-0.03670246820047063
tianxing,78,850–700,u,-0.6257078099053686,-0.974734902134723,0.37268825256935467,0.191463759415596,0.9983960624747232,-0.18122449315375866,-0.34902709222935446,1.166198661550319,1.0822973620125211,-0.26512579269155656,0.8171715693209646,0.1678025990755958
tianxing,78,850–700,v,-2.4220181461917036,-2.241606279341411,-2.4077909061465794,-2.1202068127543403,0.014227240045124212,0.2875840933922391,0.18041186685029276,0.12139946658707057,0.06781335331609739,0.23399798012126594,0.3018113334373633,0.10717222654194636
tianxing,78,850–500,u,-1.4040332405677387,-1.5713139130959362,-0.29291156561402887,-0.3208970546097095,1.1111216749537098,-0.027985488995680652,-0.16728067252819745,1.2504168584862265,1.180769266719968,-0.09763308076193905,1.083136185958029,0.1392951835325169
tianxing,78,850–500,v,-2.3842068914951797,-1.999166894142195,-2.419647818858745,-1.9670940203443945,-0.03544092736356541,0.4525537985143506,0.3850399973529848,0.03207287379780044,-0.0016840267828824862,0.4187968979336677,0.4171128711507852,0.06751380116136563
tianxing,84,850–700,u,-0.008108342256761936,-0.1259323207651128,1.0991837090745136,1.110496917405523,1.1072920513312754,0.011313208331009461,-0.11782397850835086,1.2364292381706359,1.1718606447509556,-0.0532553850886707,1.118605259662285,0.12913718683936032
tianxing,84,850–700,v,-3.0220269532671207,-2.8809561047054677,-3.247952912055767,-3.094795612858702,-0.2259259587886464,0.1531572991970651,0.14107084856165297,-0.21383950815323427,-0.21988273347094034,0.14711407387935904,-0.0727686595915813,0.012086450635412138
tianxing,84,850–500,u,-0.8913597837441625,-0.7624950613016277,0.26591235728323026,0.45436404853902546,1.1572721410273927,0.1884516912557952,0.12886472244253477,1.2168591098406532,1.1870656254340228,0.15865820684916498,1.345723832283188,0.05958696881326042
tianxing,84,850–500,v,-3.2672556602052945,-2.935719296958786,-3.4994477837133227,-3.1815894554480093,-0.2321921235080282,0.31785832826531335,0.33153636324650826,-0.2458701584892231,-0.23903114099862566,0.3246973457559108,0.08566620475728515,-0.013678034981194909
tianxing,90,850–700,u,1.656061898841865,1.4663905370697388,2.5150570877448613,2.5256114739640507,0.8589951889029963,0.010554386219189471,-0.18967136177212618,1.059220936894312,0.9591080628986541,-0.08955848777646835,0.8695495751221858,0.20022574799131565
tianxing,90,850–700,v,-2.3127190480812936,-1.9370546753369733,-2.8468215056390394,-2.504598040735128,-0.5341024575577458,0.34222346490391153,0.3756643727443203,-0.5675433653981545,-0.5508229114779502,0.3589439188241159,-0.19187899265383423,-0.03344090784040876
tianxing,90,850–500,u,0.23318697556963947,0.5027630445869697,1.1707296084541179,1.5486093255610813,0.9375426328844785,0.37787971710696344,0.2695760690173303,1.0458462809741116,0.991694456929295,0.3237278930621469,1.315422349991442,0.10830364808963316
tianxing,90,850–500,v,-2.6333704035078043,-2.0309739661657638,-3.130925511240433,-2.610562760282586,-0.4975551077326288,0.520362750957847,0.6023964373420405,-0.5795887941168223,-0.5385719509247255,0.5613795941499438,0.02280764322521822,-0.0820336863841935
tianxing,96,850–700,u,2.720941817853501,2.160025064829976,3.4600878972222584,3.144305846045733,0.7391460793687572,-0.31578205117652525,-0.5609167530235251,0.984280781215757,0.8617134302922571,-0.43834940210002515,0.42336402819223196,0.24513470184699981
tianxing,96,850–700,v,-2.7528167775369896,-2.4124067468303148,-3.5256701387779428,-3.2080751982458984,-0.7728533612409532,0.3175949405320444,0.34041003070667486,-0.7956684514155836,-0.7842609063282684,0.32900248561935963,-0.45525842070890876,-0.02281509017463046
tianxing,96,850–500,u,1.225331674956345,1.152526563185833,2.090140568788908,2.1546610847539083,0.8648088938325629,0.06452051596500041,-0.07280511177051197,1.0021345215680753,0.9334717077003191,-0.004142297902755776,0.9293294097975633,0.13732562773551238
tianxing,96,850–500,v,-2.805885508254544,-2.2301876323622114,-3.5815521146237517,-3.0728153712747077,-0.7756666063692075,0.508736743349044,0.5756978758923328,-0.8426277389124963,-0.8091471726408519,0.5422173096206884,-0.2669298630201635,-0.06696113254328884
tianxing,102,850–700,u,4.051335079953802,4.464894807213629,4.840059309843648,5.505842626649252,0.788724229889846,0.6657833168056042,0.4135597272598277,1.0409478194356225,0.9148360246627343,0.539671522032716,1.4545075466954502,0.2522235895457765
tianxing,102,850–700,v,-2.0113559261359866,-1.0961859065572082,-2.9389881929092843,-1.903384706098704,-0.9276322667732977,1.0356034868105803,0.9151700195787784,-0.8071987995414958,-0.8674155331573967,0.9753867531946794,0.10797122003728266,0.12043346723180193
tianxing,102,850–500,u,2.6614379723649337,3.5128429962917935,3.546443802236711,4.5535646238384615,0.8850058298717771,1.0071208216017506,0.8514050239268598,1.040721627546668,0.9628637287092225,0.9292629227643052,1.8921266514735278,0.15571579767489085
tianxing,102,850–500,v,-2.073972458752453,-0.8627200616497523,-3.085512317277676,-1.8314587364237407,-1.0115398585252233,1.2540535808539355,1.2112523971027005,-0.9687386747739883,-0.9901392666496058,1.232652988978318,0.24251372232871216,0.042801183751234984
tianxing,108,850–700,u,3.8959982344392925,4.98102671496923,4.717492645666596,6.071423870828505,0.8214944112273033,1.353931225161909,1.085028480529938,1.0903971558592742,0.9559457835432887,1.2194798528459234,2.175425636389212,0.26890274463197095
tianxing,108,850–700,v,-1.895903725780427,-0.5632031585410235,-3.156174120735829,-1.3762875483717667,-1.260270394955402,1.7798865723640622,1.3327005672394034,-0.8130843898307432,-1.0366773923930725,1.5562935698017328,0.5196161774086603,0.4471860051246588
tianxing,108,850–500,u,2.745608628988906,4.312346377423191,3.6205788471594222,5.3941801809321275,0.8749702181705161,1.7736013337727052,1.566737748434285,1.0818338035089363,0.9784020108397262,1.6701695411034951,2.6485715519432214,0.2068635853384202
tianxing,108,850–500,v,-2.0904015365241695,-0.33474689562301974,-3.5076248898277647,-1.371408424825319,-1.4172233533035952,2.1362164650024456,1.7556546409011498,-1.0366615292022994,-1.2269424412529473,1.9459355529517977,0.7189931116988504,0.3805618241012958
tianxing,114,850–700,u,4.78882121491384,5.373212401877865,5.945474617525608,6.546925908466768,1.1566534026117683,0.60145129094116,0.5843911869640248,1.1737135065889035,1.165183454600336,0.5929212389525924,1.7581046935529283,0.0170601039771352
tianxing,114,850–700,v,-0.8969372208587494,0.914823358856282,-2.51839327131873,0.4506114380459505,-1.6214560504599804,2.9690047093646803,1.8117605797150313,-0.46421192081033147,-1.042833985635156,2.390382644539856,1.3475486589046999,1.1572441296496487
tianxing,114,850–500,u,3.5110463589144376,4.7989378333365345,4.63661111908631,5.910117060834207,1.1255647601718723,1.2735059417478967,1.2878914744220968,1.1111792274976722,1.1183719938347723,1.2806987080849968,2.399070701919769,-0.014385532674200174
tianxing,114,850–500,v,-0.8743439622308025,1.1633269742169445,-2.5966561527634267,0.5737889298378868,-1.7223121905326242,3.1704450826013133,2.037670936447747,-0.5895380443790578,-1.155925117455841,2.6040580095245303,1.4481328920686893,1.1327741461535663
tianxing,120,850–700,u,4.708158292787992,5.240731108158161,6.068683198622594,6.028094657251399,1.3605249058346018,-0.04058854137119461,0.5325728153701688,0.7873635490932385,1.0739442274639202,0.24599213699948708,1.3199363644634072,-0.5731613567413634
